,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,AM Productivity,"$2,350,066"
,,,,,,,,,,,,,,,,,,,,AE Productivity,"$1,689,578"
Total EOY,"$140,360,620",,,,,,Annual NRR,147%,1.425760887,,,,,,,,,,,,
Jan 1 ARR,"$28,690,000",,,,,,Monthly NRR,1.03,,,,,,,,,,,,,
,,,,,***,,,,,,***,,,,,,,,,,
Month,Ent ARR,Ent MoM,Lite ARR,Lite MoM,Total ARR,Total AEs,Total EMs,AMs,Renewal ARR (NRR Cunulative),Renewal Contribution Monthly,New ARR Monthly,% Expansion,Net New,Expansion,Blended Annual Productivity,AE Productivity,AM Productivity,AM weight,AE weight,,
1/31/26,$32.42,,$4.28,,$36.70,23,10,1,$32.42,0,$3.73,20%,$2.98,$0.75,"$1,863,400","$1,555,534","$8,944,320",2.34%,4.52%,,
2/28/2026,$36.63,12.99%,$4.58,7%,$41.21,27,13,3,$33.39,$0.97,$3.24,20%,$2.59,$0.65,"$1,295,361","$1,151,432","$2,590,723",2.03%,3.92%,,
3/31/2026,$41.39,12.99%,$4.90,7%,$46.29,29,16,5,$34.39,$1.00,$3.76,25%,$2.82,$0.94,"$1,325,725","$1,165,724","$2,253,732",2.95%,4.27%,,
4/30/2026,$46.76,12.99%,$5.24,7%,$52.00,31,19,7,$35.42,$1.03,$4.34,25%,$3.26,$1.09,"$1,371,858","$1,261,224","$1,861,807",3.41%,4.94%,,
5/31/2026,$52.84,12.99%,$5.61,7%,$58.45,33,22,10,$36.49,$1.06,$5.01,25%,$3.76,$1.25,"$1,398,584","$1,366,798","$1,503,478",3.93%,5.69%,,
6/30/2026,$59.70,12.99%,$6.00,7%,$65.70,35,25,13,$37.58,$1.09,$5.77,30%,$4.04,$1.73,"$1,442,189","$1,384,501","$1,597,501",5.43%,6.12%,,
7/31/2026,$67.45,12.99%,$6.42,7%,$73.88,37,27,16,$38.71,$1.13,$6.63,30%,$4.64,$1.99,"$1,500,556","$1,504,612","$1,491,178",6.24%,7.03%,,
8/31/2026,$76.22,12.99%,$6.87,7%,$83.09,40,29,18,$39.87,$1.16,$7.60,30%,$5.32,$2.28,"$1,572,617","$1,596,206","$1,520,196",7.16%,8.06%,,
9/30/2026,$86.12,12.99%,$7.35,7%,$93.47,42,31,20,$41.06,$1.20,$8.70,30%,$6.09,$2.61,"$1,684,712","$1,740,869","$1,566,782",8.20%,9.23%,,
10/31/2026,$97.30,12.99%,$7.87,7%,$105.17,44,33,22,$42.30,$1.23,$9.95,35%,$6.47,$3.48,"$1,809,912","$1,764,664","$1,900,407",10.94%,9.80%,,
11/30/2026,$109.94,12.99%,$8.42,7%,$118.36,46,35,23,$43.57,$1.27,$11.37,35%,$7.39,$3.98,"$1,977,507","$1,928,069","$2,076,382",12.49%,11.20%,,
12/31/2026,$124.22,12.99%,$9.01,7%,$133.23,48,37,23,$44.87,$1.31,$12.97,40%,$7.78,$5.19,"$2,192,867","$1,946,170","$2,707,714",16.29%,11.79%,,
1/31/2027,$140.36,12.99%,$9.64,7%,$150.00,50,39,23,$46.22,$1.35,$14.79,40%,$8.87,$5.92,"$2,431,298","$2,129,817","$3,086,692",18.57%,13.44%,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
What are the pre-requistes to pay an AE on an expansion deal,,,,,,,,,,,,,,,,,,,,,
Split out new divsion and cross sell,,,,,,,,,,,,,,,,,,,,,
